央视频道,#genre#
2套,http://1.80.231.173:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
4套,http://1.80.231.173:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
5套,http://1.80.231.173:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
8套,http://1.80.231.173:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
东奥纪实,http://123.138.216.44:9902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://221.14.152.133:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
军事,http://221.14.152.133:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://221.14.152.133:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://221.14.152.133:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://221.14.152.133:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
科教影视,http://123.154.30.68:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
经典电影,http://221.14.152.133:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
经济生活,http://123.154.30.68:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
谍战剧场,http://221.14.152.133:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://123.154.30.68:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
钱江,http://123.154.30.68:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
